"","","","","","","","","","","","",""
"","※複数住所を持つ設備について、代表住所以外の筆数は「すべての設備所在地」シートを参照してください","","","","","","","","","","",""
"","設備ID","発電事業者名","代表者名","事業者の住所","事業者の電話番号","発電設備区分","発電出力（kW）","発電設備の所在地","","太陽電池の合計出力（kW）","新規認定日","廃棄費用の積立状況"
"","","","","","","","","代表住所","他の筆数","","",""
"","1701132B02","クラウドバンクＥＩ１号合同会社","橋村　純","東京都港区六本木７－１５－７","03-6447-0011","バイオマス","1,940.0 ","青森県北津軽郡中泊町中里字平山２８３－７","0","-","Thursday, March 31, 2016","運転開始前"
"","1720209B02","クラウドバンクＥＩ１号合同会社","橋村　純","東京都港区六本木７－１５－７","03-6447-0011","バイオマス","1,940.0 ","青森県五所川原市前田野目字野脇９０－３、４６－３","0","-","Friday, March 10, 2017","運転開始前"
"","1720210B02","コーケンバイオ株式会社","石田　恒彦","埼玉県さいたま市中央区上落合１－９－１－１６０２","03-6264-4984","バイオマス","1,940.0 ","青森県五所川原市沖飯詰字男鹿２８９－１、２８９－２、２８９－３、２９０の一部","0","-","Tuesday, March 14, 2017","運転開始前"
"","1997329B02","株式会社つがるエネルギー","齊藤　嘉春","青森県弘前市大字松ケ枝１－２－１","0172-27-9100","バイオマス","40.0 ","青森県弘前市大字稲田１－７－１４","0","-","Thursday, March 05, 2020","運転開始前"
"","1997628B02","ＹＫ．Ｅ株式会社","小林　由次郎","東京都中央区日本橋２－１６－３　１８山京ビル２０１","03-6264-4984","バイオマス","1,940.0 ","青森県北津軽郡中泊町大字中里字紅葉坂１４－６","8","-","Thursday, July 15, 2021","運転開始前"
"","A563714B02","曾我　喜久治","","","","太陽光","21.8 ","青森県八戸市南郷区市野沢平２０－１","0","23.3 ","Thursday, August 09, 2012","開示不同意"
"","A568932B02","馬場　雄二","","","","太陽光","29.5 ","青森県上北郡おいらせ町境田３３－６","0","29.8 ","Monday, August 20, 2012","開示不同意"
"","A568948B02","株式会社青森ポートリー","境野　德夫","青森県三戸郡階上町蒼前東２－９－４６","0178-38-5385","太陽光","1,500.0 ","青森県三戸郡階上町赤保内西山１１－２","0","1,500.0 ","Wednesday, August 29, 2012","0-20%"
"","A571659B02","三沢市ソーラーシステムメンテナンス事業協同組合","相場　博","三沢市南町４－３１－３４６９","0176-51-7124","太陽光","826.5 ","青森県三沢市大字三沢字戸崎１０１－４８","3","826.5 ","Friday, September 14, 2012","-"
"","A571660B02","おいらせ町","成田　隆","上北郡おいらせ町中下田１３５－２","0178-56-2111","太陽光","40.0 ","青森県上北郡おいらせ町立蛇１１４－３","0","40.0 ","Thursday, September 20, 2012","開示不同意"
"","A576817B02","田中　美佐江","","","","太陽光","38.5 ","青森県十和田市大字三本木字矢神１３０－１","0","40.3 ","Tuesday, October 30, 2012","開示不同意"
"","A576818B02","弘前りんご商業協同組合","中村　輝夫","弘前市堀越字川合２０－２","0172-27-5566","太陽光","298.1 ","青森県弘前市堀越字川合１８","0","300.3 ","Tuesday, October 30, 2012","-"
"","A577716B02","株式会社沢田建設","澤田　督康","三戸郡五戸町大字上市川字順礼森２３－２","0178-68-3111","太陽光","49.3 ","青森県三戸郡五戸町上市川字皀窪５７－７２","0","49.3 ","Monday, November 19, 2012","-"
"","A577721B02","株式会社ノザワ","野沢　博克","八戸市西白山台６－９－４５","0178-20-9958","太陽光","48.9 ","青森県八戸市西白山台６－９－４５","0","49.4 ","Monday, November 19, 2012","開示不同意"
"","A577747B02","有限会社中村建設","中村　三男","三沢市本町１－５５－５","0176-53-2026","太陽光","49.3 ","青森県上北郡おいらせ町青葉１０－１４０","0","49.3 ","Tuesday, November 13, 2012","開示不同意"
"","A578176B02","三沢市ソーラーシステムメンテナンス事業協同組合","相場　博","三沢市南町４－３１－３４６９","0176-51-7124","太陽光","1,955.5 ","青森県三沢市大字三沢字小山田１－１","0","1,955.5 ","Tuesday, November 20, 2012","開示不同意"
"","A578684B02","有限会社ユタカ商事","小比類巻　元","三沢市大字三沢字山ノ神２０","0176-54-2607","太陽光","45.0 ","青森県上北郡六戸町犬落瀬堀切沢６０－３６９","0","45.0 ","Thursday, November 29, 2012","-"
"","A578685B02","寺下運輸倉庫株式会社","小比類巻　元","三沢市南町４－３１－３４６１","0176-53-5050","太陽光","48.0 ","青森県上北郡おいらせ町青葉３－５０－１８２９","0","48.0 ","Thursday, November 29, 2012","-"
"","A578727B02","臨海サービス　株式会社","秋野　貴司","青森県八戸市大字長苗代字上亀子谷地９番地","0178-51-6708","太陽光","31.8 ","青森県八戸市大字河原木字北沼１‐１４２","0","31.8 ","Friday, December 07, 2012","0-20%"
"","A579543B02","曾我　喜久治","","","","太陽光","49.5 ","青森県八戸市南郷区大字市野沢字上山６－１２","0","49.5 ","Thursday, December 20, 2012","開示不同意"
"","A579740B02","株式会社ＩＮＯＵＥ都市クリエイト","井上　俊","弘前市松原東４丁目１１－１１","0172-34-3736","太陽光","49.5 ","青森県黒石市追子野木字長谷川４６－１","0","49.5 ","Thursday, December 20, 2012","開示不同意"
"","A579741B02","株式会社つがるエネルギー","齊藤　嘉春","青森県弘前市松ケ枝１－２－１","","太陽光","27.5 ","青森県南津軽郡田舎館村垂柳大面４４－４","0","31.0 ","Thursday, December 20, 2012","0-20%"
"","A579742B02","合同会社青森そらプロジェクト","成田　千春","青森県平川市李平上安原２２","","太陽光","49.5 ","青森県平川市李平上安原１－２","0","49.5 ","Thursday, December 20, 2012","60-80%"
"","A580626B02","エネルギープロダクト株式会社","丸山　一孝","東京都千代田区飯田橋１－３－２","0176-51-0515","太陽光","1,500.0 ","青森県三沢市大字三沢字早稲田４２２ー１１９","0","1,786.2 ","Wednesday, December 26, 2012","開示不同意"
"","A580627B02","エネルギープロダクト株式会社","代表取締役　丸山　一孝","千代田区飯田橋一丁目３－２曙杉館８階","03-5211-3813","太陽光","1,500.0 ","青森県三沢市大字三沢字淋代平１０１－１２７４","2","1,744.0 ","Wednesday, December 26, 2012","20-40%"
"","A580778B02","株式会社伸和商事","田中　ヤヱ","十和田市稲生町１３－４３","0176-22-0858","太陽光","27.5 ","青森県十和田市大字三本木字西小稲１１０－１３","3","28.8 ","Tuesday, December 25, 2012","-"
"","A580779B02","株式会社　田中組","田中　俊次","青森県十和田市三本木本金崎２３０－１","0176-23-3536","太陽光","49.5 ","青森県十和田市大字三本木字本金崎２３０－１","0","51.8 ","Tuesday, December 25, 2012","開示不同意"
"","A580780B02","株式会社　田中組","田中　俊次","青森県十和田市三本木本金崎２３０－１","0176-23-3536","太陽光","49.5 ","青森県十和田市大字三本木字本金崎２３０－１","0","51.8 ","Tuesday, December 25, 2012","開示不同意"
"","A580785B02","株式会社浜中土木","濱中　省三","むつ市川内町家ノ上８","0175-42-3269","太陽光","49.3 ","青森県むつ市川内町休所１３－１８","1","49.3 ","Wednesday, December 26, 2012","-"
"","A581099B02","臨海サービス　株式会社","秋野　貴司","青森県八戸市大字長苗代字上亀子谷地９番地","0178-51-6708","太陽光","34.9 ","青森県八戸市大字河原木字北沼１‐１４２","0","34.9 ","Wednesday, January 09, 2013","0-20%"
"","A581267B02","トヨタカローラ八戸株式会社","塚原　安雅","八戸市小中野１丁目３－１５","0178-44-1124","太陽光","515.8 ","青森県八戸市北インター工業団地４－２","0","515.8 ","Thursday, December 27, 2012","開示不同意"
"","A581269B02","トヨタカローラ八戸株式会社","塚原　安雅","八戸市小中野１丁目３－１５","0178-44-1124","太陽光","30.0 ","青森県八戸市江陽２－１０－９","0","30.0 ","Thursday, December 27, 2012","開示不同意"
"","A581270B02","トヨタカローラ八戸株式会社","塚原　安雅","八戸市小中野１丁目３－１５","0178-44-1124","太陽光","46.1 ","青森県八戸市沼館１－２－１","0","46.1 ","Thursday, December 27, 2012","開示不同意"
"","A581273B02","トヨタカローラ八戸株式会社","塚原　安雅","八戸市小中野１丁目３－１５","0178-44-1124","太陽光","48.1 ","青森県八戸市江陽２－１０－８","0","48.1 ","Thursday, December 27, 2012","開示不同意"
"","A581285B02","合同会社Ｎｏｒｔｈ　Ｐｏｗｅｒ．ＪＰ","川越　園子","青森県青森市港町２－１０－１３","017-764-0207","太陽光","250.0 ","青森県青森市原別８－９６－３","0","330.2 ","Wednesday, January 09, 2013","開示不同意"
"","A581682B02","株式会社やち電器","谷地　秀壽","八戸市小中野６－７－１７","0178-45-3251","太陽光","20.0 ","青森県八戸市小中野６－７－１７","0","22.5 ","Wednesday, January 23, 2013","-"
"","A582269B02","青森リース株式会社","気田　福俊","十和田市大字伝法寺字大窪６２－１","0176-28-3111","太陽光","48.8 ","青森県十和田市大字伝法寺字大窪６２－１","0","49.1 ","Tuesday, January 22, 2013","-"
"","A582270B02","青森リース株式会社","気田　福俊","十和田市大字伝法寺字大窪６２－１","0176-28-3111","太陽光","30.0 ","青森県十和田市大字伝法寺字大窪２－２７","0","30.2 ","Tuesday, January 22, 2013","-"
"","A582271B02","青森リース株式会社","気田　福俊","十和田市大字伝法寺字大窪６２－１","0176-28-3111","太陽光","20.0 ","青森県十和田市大字伝法寺字大窪６０－６","0","22.6 ","Tuesday, January 22, 2013","-"
"","A582849B02","新山　喜一","","","","太陽光","27.3 ","青森県上北郡六戸町折茂字下夕田１９","0","29.1 ","Monday, January 21, 2013","-"
"","A583152B02","株式会社　下久保建材店","下久保　和成","三沢市三沢大字三沢字堀口９４－１３３９","0176-50-2131","太陽光","40.4 ","青森県三沢市三沢大字三沢字堀口９４－１３３９","0","40.4 ","Wednesday, January 23, 2013","-"
"","A583157B02","千葉　和雄","","","","太陽光","30.0 ","青森県弘前市浜の町西２－２－１","0","30.7 ","Wednesday, January 23, 2013","開示不同意"
"","A583169B02","極東開発工業株式会社","布原　達也","兵庫県西宮市甲子園口６－１－４５","0798-66-1000","太陽光","1,500.0 ","青森県八戸市北インター工業団地５－１１０－２","0","1,801.6 ","Tuesday, January 29, 2013","0-20%"
"","A583402B02","合同会社青森そらプロジェクト","成田　千春","青森県平川市李平上安原２２","","太陽光","49.5 ","青森県平川市李平上安原７０－５","1","49.5 ","Tuesday, January 29, 2013","0-20%"
